Residues ID,SEPA Site,Submitted By,Licence Active at Report,Treatment Name,Active Ingredient,Sample Date,100 m Replicate 1 mg per kg,100 m Replicate 2 mg per kg,100 m Replicate 3 mg per kg,Site Name,Licence Holder,Receiving Water,Easting,Northing,Local Authority,National Grid Reference,Lat ,Long
46836,FFMC18,Scottish Sea Farms Ltd,CAR/L/1009032,Slice,Emamectin Benzoate,15-Apr-11,1.13,1.06,1.21,Shuna,Scottish Sea Farms Ltd,Loch Linnhe,192500,749680,Argyll and Bute,NM92504968,56.59298,-5.3812352
47638,KAN2,Wester Ross Fisheries Ltd,CAR/L/1003889,Calicide,Teflubenzuron,06-Apr-11,440,20,30,Ardmair (Isle Martin),Wester Ross Fisheries Ltd,Loch Broom,209900,899200,Highland,NH09909920,57.941432,-5.2131571
46949,FFMC43,The Scottish Salmon Company Ltd,CAR/L/1010775,Slice,Emamectin Benzoate,30-Mar-11,1.67,1.72,1.36,Ardcastle,The Scottish Salmon Company Ltd,Loch Fyne,195590,692410,Argyll and Bute,NR95599241,56.080671,-5.2865012
46458,FFMC47,The Scottish Salmon Company Ltd,CAR/L/1010817,Slice,Emamectin Benzoate,30-Mar-11,1.35,1.55,1.17,Ardgaddan,The Scottish Salmon Company Ltd,Loch Fyne,190930,680990,Argyll and Bute,NR90938099,55.976228,-5.3523468
47063,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,30-Mar-11,0.83,1.41,1.76,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
46842,FFMC19,Scottish Sea Farms Ltd,CAR/L/1000843,Slice,Emamectin Benzoate,29-Mar-11,1.3,1.83,1.61,Creran A,Scottish Sea Farms Ltd,Loch Creran,193070,741820,Argyll and Bute,NM93074182,56.522741,-5.365699
47025,FOI1,Loch Duart Ltd,CAR/L/1003892,Slice,Emamectin Benzoate,18-Jan-11,0.91,1.03,0.87,Foindle East (Laxford Site 1),Loch Duart Ltd,Loch Laxford,219900,949200,Highland,NC19904920,58.394022,-5.083099
46827,FFMC14,The Scottish Salmon Company Ltd,CAR/L/1015860,Slice,Emamectin Benzoate,18-Jan-11,1.14,0.93,1.5,Meall Mhor,The Scottish Salmon Company Ltd,Loch Fyne,186500,674500,Argyll and Bute,NR86507450,55.916072,-5.4180684
46467,FFMC51,Lakeland Marine Farm Ltd,CAR/L/1021927,Slice,Emamectin Benzoate,25-Nov-10,0.8,0.9,1,Ardifuir,Marine Harvest (Scotland) Ltd,Loch Craignish,178400,697600,Argyll and Bute,NR78409760,56.119555,-5.5664755
47239,NOS1,Marine Harvest (Scotland) Ltd,CAR/L/1009974,Slice,Emamectin Benzoate,29-Jul-10,2.29,1.82,2.24,Noster,Marine Harvest (Scotland) Ltd,Loch Seaforth,122840,903480,Eilean Siar,NB22840348,57.934144,-6.6841748
